Unnamed: 0,TV,Radio,Newspaper,Sales
156.0,4.1,11.6,5.7,3.2
157.0,93.9,43.5,50.5,15.3
158.0,149.8,1.3,24.3,10.1
159.0,11.7,36.9,45.2,7.3
160.0,131.7,18.4,34.6,12.9
161.0,172.5,18.1,30.7,14.4
162.0,85.7,35.8,49.3,13.3
163.0,188.4,18.1,25.6,14.9
164.0,163.5,36.8,7.4,18.0
165.0,117.2,14.7,5.4,11.9
166.0,234.5,3.4,84.8,11.9
167.0,17.9,37.6,21.6,8.0
168.0,206.8,5.2,19.4,12.2
169.0,215.4,23.6,57.6,17.1
170.0,284.3,10.6,6.4,15.0
171.0,50.0,11.6,18.4,8.4
172.0,164.5,20.9,47.4,14.5
173.0,19.6,20.1,17.0,7.6
174.0,168.4,7.1,12.8,11.7
175.0,222.4,3.4,13.1,11.5
176.0,276.9,48.9,41.8,27.0
177.0,248.4,30.2,20.3,20.2
178.0,170.2,7.8,35.2,11.7
179.0,276.7,2.3,23.7,11.8
180.0,165.6,10.0,17.6,12.6
181.0,156.6,2.6,8.3,10.5
182.0,218.5,5.4,27.4,12.2
183.0,56.2,5.7,29.7,8.7
184.0,287.6,43.0,71.8,26.2
185.0,253.8,21.3,30.0,17.6
186.0,205.0,45.1,19.6,22.6
187.0,139.5,2.1,26.6,10.3
188.0,191.1,28.7,18.2,17.3
189.0,286.0,13.9,3.7,15.9
190.0,18.7,12.1,23.4,6.7
191.0,39.5,41.1,5.8,10.8
192.0,75.5,10.8,6.0,9.9
193.0,17.2,4.1,31.6,5.9
194.0,166.8,42.0,3.6,19.6
195.0,149.7,35.6,6.0,17.3
196.0,38.2,3.7,13.8,7.6
197.0,94.2,4.9,8.1,9.7
198.0,177.0,9.3,6.4,12.8
199.0,283.6,42.0,66.2,25.5
200.0,232.1,8.6,8.7,13.4
